OBJECTID,GlobalID,Zoning,Conditional,Reference,Overlays,Supplemental,last_edited_date,SHAPESTArea,SHAPESTLength
5686,18E341C1-3ADB-4713-A81D-08A92C710B1A,R20,,,,,2024-04-15 18:59:18+00:00,122257.546863775,2125.40203217667
5687,769070C9-6B9C-42CD-92A8-AFF2095894D7,R20,,,,Open Space,2024-04-15 18:59:18+00:00,21202.303113695,1016.78489454166
5688,8CF30DB7-B6A7-4AC9-9956-B76E831F977D,R20,,,,,2024-04-15 18:59:18+00:00,22892.25996113,1360.71276459309
5689,CBA69855-CDD9-4470-8DC2-BD06E8DB4A68,R20,,,,,2024-04-15 18:59:18+00:00,83122.878783055,1318.9856198005
5690,55CCEB02-037C-44D5-8EE6-5FCFF6878119,R20,,,,Open Space,2024-04-15 18:59:18+00:00,553154.033466095,4375.8000348627
5691,1E2CBA62-285E-41BF-96C2-17B8D1A4B583,R20,,,,Open Space,2024-04-15 18:59:18+00:00,7876.829717375,436.414031971226
5692,E9309F72-7387-4FD4-BD41-92F298E743B1,R20,,,,Open Space,2024-04-15 18:59:18+00:00,122529.541926055,2003.20753476076
5693,D013125F-E393-43BD-A35C-37037BC40BB1,R20,,,,,2024-04-15 18:59:18+00:00,28524.011138305,824.944741635509
5694,F64A0455-613A-4566-8E50-2B10DFEA092E,R20,,,,,2024-04-15 18:59:18+00:00,76887.006979635,1626.11237376504
5695,49741239-A906-4A16-8984-167C0070D26B,R20,,,,Open Space,2024-04-15 18:59:18+00:00,121051.79267021,2090.41473082023
5696,F1066CFE-2AAD-4371-B80B-EE1CB8C91974,R20,,,,Open Space,2024-04-15 18:59:18+00:00,242635.61983551,5946.50493426203
5697,41EF61A0-5738-4ABE-AD07-457C6445BAA0,R20,,,,,2024-04-15 18:59:18+00:00,69028.39001559,1196.99143984964
5698,FA13BB2B-F88E-4884-B630-80F56B48B6A7,R20,,,,,2024-04-15 18:59:18+00:00,15672.55394037,631.141140904818
5699,4940044D-417A-4C83-B7C9-E94D4E694C90,R20,,,,,2024-04-15 18:59:18+00:00,60937.14880414,1142.20765467948
5700,1346B109-2BD5-400D-B090-0018B5F374C1,R20,,,,,2024-04-15 18:59:18+00:00,33094.64266112,794.281035296696
5701,AA4531F6-D317-4D83-8944-4F191C449D4E,R20,,,,,2024-04-15 18:59:18+00:00,24576.62672711,626.774211342445
5702,B48F1C9C-CDE0-401A-9722-892CDADC800D,R20,,,,,2024-04-15 18:59:18+00:00,82494.11163082,1321.34051450882
5703,015533DC-143F-42C3-B200-3BE2AC445DDC,R20,,,,,2024-04-15 18:59:18+00:00,32936.10509168,713.956683007068
5704,8AEF1BC4-7551-45DF-ADDD-9D1A53A7D99D,R20,,,,,2024-04-15 18:59:18+00:00,69130.11076455,1121.23742158311
5705,DA473C23-AC3E-48A3-A5CA-B61F488F2529,R20,,,,,2024-04-15 18:59:18+00:00,53711.68235177,995.684899125467
5706,4335C627-7596-4E61-835E-E414FDF5D18F,R20,,,,,2024-04-15 18:59:18+00:00,147754.27469307,2334.6609264684
5707,180D24CB-6631-41EE-A9CD-D0237DE5B52A,R20,,,,,2024-04-15 18:59:18+00:00,27458.3001778,911.183297571695
